Unnamed: 0,...1,Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X1..Auditors.Name,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X16..Contact.Information,Lighting...Estimated.Power.Req....W.,Cooling...Estimated.Power.Req....W.,Others...Estimated.Power.Req....W.,Total...Estimated.Power.Req....W.,Additional.Load.from.Requested.Appliances
12,15470,Onitsha--SEC(B)--LIN(11)--BL(5)--SNUM(14915)--SLEV(GROUND FLOOR),2022-04-13 12:00:54,Accept,Auditor 3,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,11,5,14915,77.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
13,2788,KTK--SEC(SECTION C)--LIN(LINE 1)--BL(4)--SNUM(1640)--SLEV(0),2022-03-17 00:26:57,Accept,Auditor 4,"9.94xxxx, 8.87xxxx",Katako,Closed Shop,SECTION C,LINE 1,4,1640,2.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
14,3621,MDA--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK AAAO)--SNUM(3583)--SLEV(0),2022-05-13 17:10:16,Accept,Auditor 7,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION D,LINE 2,BLOCK AAAO,3583,29.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
15,3407,KTK--SEC(SECTION C)--LIN(LINE 1)--BL(21)--SNUM(2225)--SLEV(0),2022-03-19 14:53:54,Accept,Auditor 23,"9.94xxxx, 8.87xxxx",Katako,Open Stall,SECTION C,LINE 1,21,2225,24.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
16,874,GKM--SEC(A)--LIN(8)--BL(1)--SNUM(163)--SLEV(0),2022-03-26 14:05:23,Accept,Auditor 32,"7.32xxxx, 9.00xxxx",Gboko Main Market,Closed Shop,A,8,1,163,2.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,30.0,120.0,50.0,200.0,0.0
18,1030,MDA--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK AB)--SNUM(1007)--SLEV(0),2022-05-13 11:31:53,Accept,Auditor 1,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION B,LINE 1,BLOCK AB,1007,17.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,40.0,40.0,0.0,80.0,0.0
20,7009,Onitsha--SEC(B)--LIN(13)--BL(3)--SNUM(15873)--SLEV(GROUND FLOOR),2022-05-25 12:34:18,Accept,Auditor 9,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,13,3,15873,261.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
23,6606,SBG--SEC(SECTION E)--LIN(LINE 1)--BL(AM)--SNUM(6569)--SLEV(0),2022-05-31 14:28:23,Accept,Auditor 13,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION E,LINE 1,AM,6569,42.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
24,3194,Onuimo--SEC(A)--LIN(124)--BL(2)--SNUM(2479)--SLEV(0),2022-04-14 10:39:40,Accept,Auditor 9,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo industrial and general goods market),Open Stall,A,124,2,2479,5.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
25,5353,KRM--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK 77)--SNUM(5307)--SLEV(GROUND FLOOR),2022-05-21 12:06:53,Accept,Auditor 16,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION D,LINE 2,BLOCK 77,5307,29.0,GROUND FLOOR,MOSQUE,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
26,3054,OKJ--SEC(SECTION F)--LIN(LINE 1)--BL(15)--SNUM(2973)--SLEV(0),2022-05-19 12:20:30,Accept,Auditor 14,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Open Stall,SECTION F,LINE 1,15,2973,4.0,GROUND FLOOR,SHED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
27,25339,Onitsha--SEC(A)--LIN(14)--BL(3)--SNUM(4672)--SLEV(GROUND FLOOR),2022-04-09 10:25:00,Accept,Auditor 4,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,A,14,3,4672,9.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
28,491,TSH--SEC(SECTION A)--LIN(LINE 10)--BL(BLOCK H)--SNUM(491)--SLEV(0),2022-04-13 12:24:34,Accept,Auditor 7,"10.2xxxx3, 11.1xxxx2",Tshon Kasuwa,Closed Shop,SECTION A,LINE 10,BLOCK H,491,7.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,100.0,0.0,0.0,100.0,0.0
29,1380,KTK--SEC(SECTION A)--LIN(LINE 1)--BL(33)--SNUM(1015)--SLEV(1),2022-03-19 10:20:03,Accept,Auditor 26,"9.94xxxx, 8.87xxxx",Katako,Open Stall,SECTION A,LINE 1,33,1015,1.0,FIRST FLOOR,OCCUPIED,xxxxxxxxxxx,368.0,0.0,700.0,1068.0,0.0
30,20252,Onitsha--SEC(A)--LIN(14)--BL(7)--SNUM(5784)--SLEV(SECOND FLOOR),2022-05-26 15:40:24,Accept,Auditor 12,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,14,7,5784,135.0,SECOND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
31,5123,TND--SEC(SECTION D)--LIN(LINE 1)--BL(D81)--SNUM(5123)--SLEV(0),2022-06-11 14:42:00,Accept,Auditor 4,"10.5xxxx4, 7.40xxxx",Tundun Wada market,Closed Shop,SECTION D,LINE 1,D81,5123,34.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
33,2214,OGG--SEC(E)--LIN(1)--BL(2)--SNUM(1886)--SLEV(0),2022-05-31 14:54:21,Accept,Auditor 7,"6.83xxxx, 7.41xxxx",Ogige market,Open Stall,E,1,2,1886,89.0,GROUND FLOOR,UNDER CONSTRUCTION,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
34,11808,Onitsha--SEC(A)--LIN(24)--BL(12)--SNUM(9884)--SLEV(GROUND FLOOR),2022-04-07 08:29:00,Accept,Auditor 15,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,24,12,9884,17.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,20.0
35,3665,Onitsha--SEC(B)--LIN(16)--BL(2)--SNUM(18536)--SLEV(FIRST FLOOR),2022-04-14 12:17:26,Accept,Auditor 10,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,16,2,18536,1313.0,FIRST FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
36,18651,Onitsha--SEC(B)--LIN(6)--BL(2)--SNUM(12240)--SLEV(GROUND FLOOR),2022-05-25 10:13:27,Accept,Auditor 25,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,6,2,12240,52.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
37,4328,KTS--SEC(SECTION C)--LIN(LINE 2)--BL(BLOCK 17)--SNUM(4328)--SLEV(0),2022-05-22 12:13:11,Accept,Auditor 8,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION C,LINE 2,BLOCK 17,4328,9.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
38,538,ADB--SEC(EXT)--LIN(1)--BL(1)--SNUM(165)--SLEV(0),2022-03-16 14:22:04,Accept,Auditor 1,"7.34xxxx, 3.87xxxx",Adelabu Shopping Complex,Closed Shop,EXT,1,1,165,30.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
39,21,OGG--SEC(A)--LIN(2)--BL(1)--SNUM(87)--SLEV(0),2022-06-02 11:19:00,Accept,Auditor 2,"6.83xxxx, 7.41xxxx",Ogige market,Closed Shop,A,2,1,87,8.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,60.0
40,5484,SBG--SEC(SECTION D)--LIN(LINE 2)--BL(Q)--SNUM(5482)--SLEV(0),2022-06-08 13:50:00,Accept,Auditor 13,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Open Stall,SECTION D,LINE 2,Q,5482,25.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,18.0
41,3411,JMT--SEC(D)--LIN(2)--BL(156)-SNUM(3116)--SLEV(0),2022-04-16 12:46:33,Accept,Auditor 7,"9.27xxxx, 12.4xxxx2",jimeta central / modern market,Closed Shop,D,2,156,3116,78.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
42,2792,MDA--SEC(SECTION C)--LIN(LINE 2)--BL(BLOCK AAT)--SNUM(2754)--SLEV(0),2022-05-09 16:42:00,Accept,Auditor 18,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION C,LINE 2,BLOCK AAT,2754,5.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
43,1282,OKJ--SEC(SECTION F)--LIN(LINE 2)--BL(2)--SNUM(2652)--SLEV(0),2022-05-18 15:28:53,Accept,Auditor 7,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION F,LINE 2,2,2652,17.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,36.0
46,212,Babban-Kasuwa--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK C)--SNUM(212)--SLEV(0),2022-04-12 12:28:00,Accept,Auditor 6,"10.2xxxx2, 11.1xxxx6",Babban Kasuwa,Closed Shop,SECTION A,LINE 2,BLOCK C,212,6.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,54.0,40.0,0.0,94.0,0.0
48,6022,Onuimo--SEC(A)--LIN(23)--BL(1)--SNUM(440)--SLEV(0),2022-05-25 15:48:01,Accept,Auditor 12,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo industrial and general goods market),Closed Shop,A,23,1,440,24.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
49,1759,Aba-Ekeoha--SEC(B)--LIN(3)--BL(2)--SNUM(1769)--SLEV(0),2022-03-22 14:14:23,Accept,Auditor 9,"5.10xxxx, 7.36xxxx",Aba Ekeoha Shopping Center,Closed Shop,B,3,2,1769,124.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
50,730,Watt--SEC(B)--LIN(9)--BL(3)--SNUM(2569)--SLEV(0),2022-03-22 05:30:26,Accept,Auditor 1,"4.95xxxx, 8.32xxxx",Watt Market,Closed Shop,B,9,3,2569,3.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,20.0
51,2358,Aba-Ekeoha--SEC(B)--LIN(11)--BL(2)--SNUM(2369)--SLEV(0),2022-03-23 13:07:25,Accept,Auditor 9,"5.10xxxx, 7.36xxxx",Aba Ekeoha Shopping Center,Closed Shop,B,11,2,2369,35.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
52,1159,RKB--SEC(SECTION B)--LIN(LINE 1)--BL(3)--SNUM(727)--SLEV(0),2022-03-19 16:33:24,Accept,Auditor 11,"9.92xxxx, 8.86xxxx",Rukkuba Market (Rukuba Road Satellite Market),Closed Shop,SECTION B,LINE 1,3,727,1.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
53,2606,OGG--SEC(E)--LIN(6)--BL(5)--SNUM(2584)--SLEV(0),2022-06-02 16:10:00,Accept,Auditor 4,"6.83xxxx, 7.41xxxx",Ogige market,Closed Shop,E,6,5,2584,88.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
54,20473,Onitsha--SEC(A)--LIN(17)--BL(1)--SNUM(7816)--SLEV(GROUND FLOOR),2022-05-26 16:59:25,Accept,Auditor 3,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,17,1,7816,648.0,GROUND FLOOR,SHED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
55,9659,Onitsha--SEC(A)--LIN(10)--BL(6)--SNUM(2785)--SLEV(GROUND FLOOR),2022-04-06 16:52:00,Accept,Auditor 30,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,10,6,2785,163.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,10.0
56,6474,SBG--SEC(SECTION E)--LIN(LINE 1)--BL(AI)--SNUM(6353)--SLEV(0),2022-05-30 14:05:45,Accept,Auditor 11,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION E,LINE 1,AI,6353,52.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
57,2639,Babban-Kasuwa--SEC(SECTION C)--LIN(LINE 1)--BL(BLOCK AA)--SNUM(2639)--SLEV(1),2022-04-15 14:05:07,Accept,Auditor 10,"10.2xxxx2, 11.1xxxx6",Babban Kasuwa,Closed Shop,SECTION C,LINE 1,BLOCK AA,2639,48.0,FIRST FLOOR,OCCUPIED,xxxxxxxxxxx,20.0,40.0,0.0,60.0,0.0
59,800,OGG--SEC(E)--LIN(6)--BL(1)--SNUM(2214)--SLEV(0),2022-06-01 14:11:00,Accept,Auditor 2,"6.83xxxx, 7.41xxxx",Ogige market,Closed Shop,E,6,1,2214,71.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,60.0
60,23051,Onitsha--SEC(B)--LIN(10)--BL(4)--SNUM(13813)--SLEV(GROUND FLOOR),2022-03-30 16:44:02,Accept,Auditor 25,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,B,10,4,13813,161.0,GROUND FLOOR,UNDER CONSTRUCTION,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
61,2450,KRM--SEC(SECTION C)--LIN(LINE 2)--BL(BLOCK 33)--SNUM(2439)--SLEV(GROUND FLOOR),2022-05-23 14:34:19,Accept,Auditor 13,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION C,LINE 2,BLOCK 33,2439,6.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
63,68,Old-textile--SEC(B)--LIN(1)--BL(1)--SNUM(642)--SLEV(0),2022-05-12 13:51:00,Accept,Auditor 4,"7.63xxxx, 5.20xxxx",Old Textile Market,Closed Shop,B,1,1,642,8.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,111.0
64,326,OGG--SEC(B)--LIN(3)--BL(8)--SNUM(1043)--SLEV(0),2022-05-28 18:06:28,Accept,Auditor 4,"6.83xxxx, 7.41xxxx",Ogige market,Closed Shop,B,3,8,1043,86.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
65,580,BMP--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK L)--SNUM(580)--SLEV(0),2022-05-17 10:51:10,Accept,Auditor 13,"12.0xxxx7, 8.56xxxx","Bompai cluster (textile manufacturers - (along club, Maganda and Mission roads)",Closed Shop,SECTION A,LINE 2,BLOCK L,580,1.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
66,446,RKB--SEC(SECTION D)--LIN(LINE 1)--BL(10)--SNUM(2761)--SLEV(0),2022-03-22 17:02:53,Accept,Auditor 1,"9.92xxxx, 8.86xxxx",Rukkuba Market (Rukuba Road Satellite Market),Closed Shop,SECTION D,LINE 1,10,2761,25.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,90.0
67,249,LFW--SEC(B)--LIN(5)--BL(14)--SNUM(523)--SLEV(0),2022-03-07 12:00:00,Accept,Auditor 8,"7.15xxxx, 3.32xxxx","Lafenwa Market, Abeokuta",Closed Shop,B,5,14,523,2.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
68,182,ADB--SEC(SECTION C)--LIN(1)--BL(1)--SNUM(4)--SLEV(0),2022-03-17 12:26:41,Accept,Auditor 6,"7.34xxxx, 3.87xxxx",Adelabu Shopping Complex,Closed Shop,SECTION C,1,1,4,99.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
69,5007,Onitsha--SEC(B)--LIN(10)--BL(4)--SNUM(13672)--SLEV(GROUND FLOOR),2022-04-14 17:11:43,Accept,Auditor 18,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,10,4,13672,306.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,20.0
70,1024,Watt--SEC(A)--LIN(1)--BL(2)--SNUM(70)--SLEV(0),2022-03-18 08:48:43,Accept,Auditor 4,"4.95xxxx, 8.32xxxx",Watt Market,Closed Shop,A,1,2,70,31.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
72,514,Onitsha--SEC(A)--LIN(11)--BL(2)--SNUM(3655)--SLEV(FIRST FLOOR),2022-06-08 13:04:00,Accept,Auditor 1,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,11,2,3655,68.0,FIRST FLOOR,OCCUPIED,xxxxxxxxxxx,60.0,0.0,50.0,110.0,0.0
73,1511,TND--SEC(SECTION B)--LIN(LINE 1)--BL(B25)--SNUM(1511)--SLEV(0),2022-06-02 10:16:00,Accept,Auditor 7,"10.5xxxx4, 7.40xxxx",Tundun Wada market,Closed Shop,SECTION B,LINE 1,B25,1511,1.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,76.0
74,19060,Onitsha--SEC(A)--LIN(19)--BL(3)--SNUM(6133)--SLEV(GROUND FLOOR),2022-05-25 13:05:04,Accept,Auditor 12,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,19,3,6133,91.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
75,12755,Onitsha--SEC(B)--LIN(17)--BL(5)--SNUM(20855)--SLEV(GROUND FLOOR),2022-04-07 16:40:00,Accept,Auditor 11,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,17,5,20855,2.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
76,2084,IGD--SEC(E)--LIN(5)--BL(1)--SNUM(1973)--SLEV(0),2022-04-13 10:34:58,Accept,Auditor 1,"5.52xxxx, 5.76xxxx",Igbudu market,Closed Shop,E,5,1,1973,8.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
77,276,IGD--SEC(B)--LIN(13)--BL(12)--SNUM(524)--SLEV(0),2022-04-08 11:09:00,Accept,Auditor 1,"5.52xxxx, 5.76xxxx",Igbudu market,Closed Shop,B,13,12,524,9.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,40.0,40.0,0.0,80.0,0.0
79,71,KRM--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK 1)--SNUM(42)--SLEV(GROUND FLOOR),2022-05-18 14:28:42,Accept,Auditor 16,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION A,LINE 2,BLOCK 1,42,9.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
80,3900,TND--SEC(SECTION D)--LIN(LINE 2)--BL(D65)--SNUM(3900)--SLEV(1),2022-05-27 16:24:33,Accept,Auditor 8,"10.5xxxx4, 7.40xxxx",Tundun Wada market,Closed Shop,SECTION D,LINE 2,D65,3900,40.0,FIRST FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
81,902,TND--SEC(SECTION A)--LIN(LINE 2)--BL(A13)--SNUM(902)--SLEV(0),2022-05-31 10:07:55,Accept,Auditor 10,"10.5xxxx4, 7.40xxxx",Tundun Wada market,Closed Shop,SECTION A,LINE 2,A13,902,51.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,368.0
82,5538,AkpaAndem--SEC(A)--LIN(2)--BL(6)--SNUM(1619)--SLEV(0),2022-04-05 12:44:00,Accept,Auditor 3,"5.01xxxx, 7.92xxxx",Akpan Andem Market,Open Stall,A,2,6,1619,58.0,GROUND FLOOR,SHED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
83,340,OKJ--SEC(SECTION B)--LIN(LINE 2)--BL(8)--SNUM(256)--SLEV(0),2022-05-17 12:57:00,Accept,Auditor 19,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION B,LINE 2,8,256,2.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
84,41,ONR--SEC(SECTION C)--LIN(LINE 2)--BL(C)--SNUM(C9)--SLEV(0),2021-12-13 12:40:16,Accept,Auditor 3,"6.42xxxx, 3.45xxxx",Oniru New Market,Open Stall,SECTION C,LINE 2,C,C9,9.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,72.0,120.0,0.0,192.0,0.0
85,4481,Margaret--SEC(A)--LIN(2)--BL(9)--SNUM(1186)--SLEV(0),2022-03-31 11:41:53,Accept,Auditor 6,"6.31xxxx, 8.12xxxx",Margaret Umahi Market,Closed Shop,A,2,9,1186,80.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
86,19242,Onitsha--SEC(A)--LIN(14)--BL(9)--SNUM(6193)--SLEV(GROUND FLOOR),2022-05-25 11:32:04,Accept,Auditor 15,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,14,9,6193,159.0,GROUND FLOOR,UNDER CONSTRUCTION,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
87,1115,WTI--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK W)--SNUM(1021)--SLEV(0),2022-05-13 11:50:20,Accept,Auditor 5,"10.3xxxx5, 9.84xxxx",Wunti Market,Closed Shop,SECTION B,LINE 1,BLOCK W,1021,7.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,20.0,80.0,0.0,100.0,0.0
